animal,animals,animals_hard,animals_random,animals_random_hard
chicken,12,25,2,
chihuahua,1,,1,
chimpanzee,106,100,79,54
chinchilla,5,2,38,18
chinchillas,,,,1
chinese water dragon,,,1,
chipmunk,8,7,4,
cicada,,1,,
cichlid,1,,,
civet,3,,,1
clam,2,,,
clementine raccoon,,,1,
cleo,,,1,
clownfish,13,1,3,
coati,,,1,3
cobra,7,5,13,23
cockatoo,3,1,,1
cockroach,,1,,
cocoa,,,1,
cod,,,,1
comet fish,,,1,
common octopus,,,1,
common toad,,,1,
comodo dragon,1,,,
coral,9,,,
coral trout,,,2,
cormorant,2,1,,1
coscer,,1,,
couchant falcon,1,,,
cougar,7,5,3,
cow,41,45,4,2
cowbird,1,,,
coyote,15,14,3,2
coypu,,1,,
crab,68,46,17,9
crane,1,1,2,
creamsicle coral,,,,1
crested crane,,,,1
cricket,2,,2,1
crimson otter,,,1,
croco,,,1,
crocodile,261,243,141,145
crocoâ­dile,2,,,
crow,20,18,4,2
crows,,,,1
cuddles,,,1,
curlew,,,1,
cuttlefish,6,,7,3
dachshund,,1,,
daisy,,,1,
dall sheep,,,2,1
dalmatian,,,1,
deer,227,260,34,18
dhole,,,2,
digger,,,1,
dik-dik,,,1,
dingo,2,2,7,1
dinosaur,,1,,
diplodocus,,,,1
discus,1,,,
dodo,,2,1,
dog,279,303,16,54
dolphin,358,311,278,316
dolphins,,,1,
donkey,35,71,42,55
dove,2,3,1,
dragonfly,21,17,18,11
dromedary,1,,,2
dromedary camel,,,,1
drone,1,,,
duck,29,24,7,1
dugong,4,2,11,13
duiker,,1,,
duke,,,1,
eagle,164,168,66,65
earthworm,1,,,
eastern gray squirrel,,,1,
eastern grey kangaroo,,,1,
eastern tiger salamander,,,,1
echidna,5,2,16,13
eel,1,2,4,17
egret,,1,,
elefante,,,1,
elephant,819,811,521,573
elephant seal,4,1,5,3
elk,7,7,,
emperor penguin,,,5,
emu,8,6,8,1
eskimo dog,,,,1
esquimau,1,,,
european hedgehog,,,1,1
european polecat,,,,1
european robin,,,1,
falcon,121,117,157,173
fang,,,1,
fast fox,1,,,
fennec,,1,56,30
fennec fox,,,45,69
fennec foxes,,,,1
ferret,2,2,9,2
fido,,,4,
finch,5,3,1,
finn,,,4,
finnley,,,2,
finnley falcon,,,1,
fish,38,32,1,
fjord,,,1,
flamingo,62,50,142,74
fluffy,,,9,
fly,3,,,
flying squirrel,,,1,
foal,,,,2
fossa,,,8,8
fox,306,338,124,101
foxincerely,1,,,
frilled lizard,,,1,
frog,112,105,41,83
frogfish,,,1,
frosty hare,,,1,
fulvous whistling duck,,,,1
fuzzy,,,1,
galapagos tortoise,,,1,
gazelle,3,5,24,23
gecko,4,1,5,3
geese,,1,,
gelada baboon,,,1,
gerald penguin,,,1,
gerbil,3,2,,
giant anteater,,,1,
giant panda,1,,7,1
gibbon,4,3,7,2
gila monster,1,,,1
ginger,,,3,
giraffe,751,808,555,611
giraffe weevil,,,,4
gizmo,,,6,
gnu,,,1,
goat,32,46,6,2
goblin shark,,,,1
golden eagle,1,1,8,
golden gecko,,,1,
golden jaguar,,,,1
golden lion tamarin,,,,1
golden parrot,,,1,
golden retriever,1,1,,
goldfinch,1,,1,
goldfish,6,,1,3
goose,14,13,6,2
gopher,,,,1
gorila,,,1,
gorilla,290,186,145,139
gracie,,,1,
grasshopper,2,,4,
gray wolf,1,,1,
great horned owl,1,,,
great white shark,1,,,
green iguana,,,6,1
green sea turtle,,,1,
green tree frog,,,2,
grizzly bear,7,,1,
groundhog,,1,,
guan,,,,2
guanaco,,,3,1
guepardo,,,1,
guido,,,1,
guinea pig,8,6,1,
hammerhead shark,,1,1,2
hamster,13,15,4,8
harbor seal,,,,1
hare,5,2,3,2
harlequin duck,,,1,
harlequin frog,,,,1
harlequin macaw,,,1,
harp seal,,,1,
harpy eagle,,,8,1
hawk,51,47,26,13
hedda fox,,,1,
hedgehog,69,92,152,146
hen,,,1,
hermit crab,,1,3,
heron,1,1,2,
himalayan monal,,,2,
hipopã³tamo,,,1,
hippo,49,68,37,78
hippopotamus,249,252,144,133
honeybee,1,,,
hornbill,,1,,
horse,122,138,10,13
howler monkey,1,,,
hummingbird,26,15,37,34
humpback whale,1,,1,
husky,,,,1
hyena,62,67,73,29
hyrax,3,1,3,1
ibex,,4,9,3
ibis,,,1,
ibiza,,,1,
ibiza butterfly,,,1,
ibizan hound,,,2,1
iguana,10,9,41,14
impala,1,2,1,1
indian cobra,,,4,1
indian pangolin,,,,1
indian peafowl,,,1,
jackal,9,13,8,
jackrabbit,1,,,
jager,,,1,
jaguar,49,26,102,87
jaguars,1,,,
jaguarundi,1,,5,6
javan rhino,,,2,
jellyfish,29,18,9,3
jerboa,,,1,
jirafa,,,1,
kakapo,,,4,
kangaroo,618,621,561,589
kangaroo rat,1,,2,2
kelpie,,,,1
kestrel,,,1,
kidneyfish,,,,1
killer whale,,,1,
king cobra,1,,3,
kingfisher,,1,2,
kinkajou,,,3,3
kitten,,1,2,
kiwi,3,,3,1
koala,413,350,495,389
koala bear,,,2,
koel,,,1,
kolkrabe,,,1,
komodo,,,3,
komodo dragon,4,6,27,26
komodo wryneck,,,1,
kookaburra,1,,4,
krypto,,,1,
kudu,,,,1
labrador,,,,1
labrador retriever,,,1,1
ladybug,4,2,1,1
leatherback turtle,,,1,
lechuza,,,1,
lechwe,1,,,
lemur,39,75,214,195
leopard,227,214,121,69
leopard seal,1,,,3
leopardo,,,1,
leopards,1,,1,
leoparrd,1,,,
lesser panda,1,,,
lion,809,772,387,359
lion's mane jellyfish,,,,1
lioness,,1,1,
lionfish,,4,,
lizard,71,59,14,45
llama,26,26,19,11
llamas,,1,,1
lobster,56,39,7,12
locust,,,1,
loki,,,1,
lola,,,2,
loon,2,,,
loris,,,,1
luna,,,4,
luna snake,,,1,
lynx,6,5,8,8
lyrebird,,,,1
macaw,1,1,3,2
malayan tapir,,,1,
manatee,13,8,18,26
manatees,,,,1
manatã­,,,1,
mandrill,1,1,5,1
maned wolf,,,4,1
manta ray,2,,1,
mantis,3,1,1,3
mantis shrimp,,,,5
marjorie kangaroo,,,1,
marlin,2,,1,
marmoset,,,2,
marmot,,,3,6
meadow,,,1,
meerkat,37,35,137,64
mekong giant catfish,,,,1
milky stork,,,1,
millipede,2,,1,
mink,,,2,1
minks,,,,1
misty,,,2,
mite,,,1,
mittens,,,8,
mockingbird,,,1,
moduleid,1,,,
mola mola,,,1,6
mole,2,2,21,48
mole cricket,,,,1
mole rat,,,2,2
mollusk,,,1,
molly,1,,,
mongeese,,,,3
mongolian wild ass,,,,1
mongoose,14,11,104,96
mongooses,,,1,
mongrel,,,3,1
mongrel dog,,,1,
monk seal,,,1,
monkey,419,432,110,132
monkeys,1,,,
moose,65,60,15,3
moray eel,,,,1
mosquito,,2,,
moth,9,3,2,
mountain goat,,,2,
mountain gorilla,,,1,1
mountain lion,1,,,
mountain lion/wildcat,1,,,
mouse,22,23,5,3
mule,,4,2,
murciã©lago,,,1,
musk ox,,,1,
mustang,,1,,
myna,,,1,
mystic wolf,,,1,
narwhal,7,4,100,68
nematode,1,,,
newt,6,3,5,1
nibbles,,,1,
north american beaver,,,1,
northern cardinal,,,1,
northern rockhopper penguin,,,,1
nugget,,,3,
numbat,1,2,36,41
oak tree,,,1,
ocelot,5,3,39,30
ocelote,,,1,
octopus,112,106,159,157
okapi,,1,56,61
onyx,,,1,
opossum,3,,,
orangutan,33,31,20,8
orangutã¡n,,,1,
orca,7,2,1,
orcas,,,,2
oryx,,,2,1
osprey,3,1,1,
ostrich,70,82,166,218
otter,168,152,242,161
otterhound,,,1,
otters,,,,1
owl,134,129,69,96
owlet,1,1,1,
owls,,,,1
ox,3,,1,
oyster,1,,1,
paddlefish,,,1,
pagoda,,,1,
panda,282,294,192,145
pangolin,2,2,55,58
pangolins,,,,1
panther,13,2,31,9
pantheraurus,1,,,
parakeet,1,1,,
parrot,81,62,23,25
partridge,1,,,
patches,,,6,
peacock,48,31,43,8
peacok,,,1,
peafowl,2,,,
peanut,,,4,
pelican,11,15,12,5
penguin,530,528,549,599
penguins,,1,,
pengwin,,,1,
peregrine falcon,,,1,3
persian cat,1,,1,
pheasant,1,,,3
pickle,,,1,
pig,23,26,3,3
pigeon,10,7,3,5
pine marten,,,1,
pingã¼ino,,,1,
pink dart frog,,,1,
pink fairy armadillo,,,1,1
pink flamingo,,,,1
platypus,24,10,86,54
polar bear,39,13,18,12
pomeranian,,,4,
pony,,,,1
porcupine,27,18,29,9
porpoise,1,1,,2
prairie dog,1,1,1,4
praying mantis,1,1,,
proboscis monkey,,,2,
pudding,,,1,
pudu,,,1,
pufferfish,,,4,1
puffin,3,,31,7
pug,,,1,
puma,5,7,55,45
python,5,1,2,1
quadruped,1,,,
quagga,,,,1
quail,4,4,105,111
quails,,,,1
quetzal,,,,1
quincy,,,1,
quincy octopus,,,1,
quokka,1,2,69,51
rabbit,217,224,58,90
raccoon,52,32,154,62
racoon,,,1,
railsback frog,,,1,
rain frog,,,1,
ram,,1,,
ranger,,,1,
raptor,,,1,
rat,11,7,,1
rattlesnake,2,5,54,41
raven,7,2,2,1
ray,,,1,
red fox,10,1,19,3
red kangaroo,,,1,
red panda,3,3,23,8
reindeer,7,4,2,1
rhea,,,,1
rhesus macaque,,,,1
rhino,62,66,107,73
rhinoceros,233,273,204,165
rhinoceros beetle,,,,1
rhinoceroses,,,,1
rinoceronte,,,1,
roadrunner,,1,1,
robin,8,3,5,3
rocky,,,2,
roderick ostrich,,,1,
rooster,2,,2,
roseate spoonbill,,,1,
rottweiler,,,1,
rover,,,1,
ruffian,,,1,
rufus,,,1,
saber-toothed tiger,,,1,1
sable,,,1,
saiga antelope,,,1,
salamander,28,27,35,52
salmon,21,5,15,15
sandpiper,,,1,
saola,,,1,
sassy,,,1,
scallop,,,1,
scarlet macaw,,,1,
scorpion,13,9,6,
sea anemone,1,,,
sea cucumber,3,1,,1
sea lion,11,5,2,3
sea otter,2,,3,3
sea star,1,,,
sea turtle,13,6,4,3
sea urchin,18,3,3,
seadragon,1,,,
seagull,22,20,12,6
seahorse,30,21,26,25
seal,78,66,40,33
sealion,6,6,,1
seastar,,,1,
serval,,1,2,
shadow panther,,,1,
shark,113,129,16,17
sheep,32,49,3,
shellfish,1,1,,
shipworm,,,1,
shrew,,,1,
shrimp,5,1,1,3
siamese,,,1,
siamese cat,1,,,
siberian crane,,,,1
siberian husky,2,1,2,2
siberian tiger,,,4,
sifaka,,,1,
signalerror,1,,,
silent lemur,,,1,
simba,,,2,
skink,,,,1
skunk,26,23,12,3
skunks,,,,1
slime mold,1,,,
sloth,50,34,145,63
sloth bear,1,,,
slow loris,,,1,
slug,8,7,3,
snail,19,12,8,8
snake,248,238,74,57
snakes,,,1,1
snapping turtle,,,,2
snipe,,1,,
snow leopard,1,2,25,5
snowball,,,3,
snowflake,,,1,
snowy,,,1,
snowy owl,,,,1
snuffles,,,3,
socks,,,2,
south american tapir,,,1,
southern cassowary,,,1,
sparky,,,10,
sparrow,11,12,11,9
sperm whale,,,,1
spider,30,20,6,1
spider monkey,,,1,
spike,,,2,
spotted salamander,,,3,1
springbok,,,1,1
sprocket,,,1,
squeaky,,,1,
squid,30,16,13,8
squidward,,,1,
squirel,1,,,
squirrel,76,77,38,31
star-nosed mole,,,,1
starfish,40,21,10,11
stingray,3,1,4,2
storck,,,1,
stork,4,2,,
strawberry poison frog,,,,1
sturgeon,1,,,
sugar,,,,1
sugar glider,,,3,5
sumatran orangutan,,,1,
sun bear,,,3,
sunbird,,,,1
sunlit salamander,,,1,
swallow,13,1,2,3
swan,40,43,11,13
swift falcon,,,1,
swift fox,,,1,
swordfish,1,,,
swordtail catfish,,,,1
sylvester squirrel,,,1,
tahr,,,2,
takelma,,,1,
takin,,,1,1
tamarin,,3,3,1
tamarins,1,,,
tamarow,1,,,
tapir,,1,50,56
tapirus,,,1,
tarantula,,,5,3
tardigrade,,,1,
tarpon,,,1,
tarsier,1,,15,31
tasmanian devil,1,4,6,4
tawny frogmouth,,,1,
termite,4,1,1,
tern,,,1,
tetra,1,,,
thane,,,1,
thistle,,,1,
thomson's gazelle,,,,1
tiger,817,825,458,514
tiger cat,,,1,2
tiger catfish,,,,1
tiger salamander,,,,1
tiger shark,,1,,
toad,45,37,6,1
toboggan catshark,,,,1
toby,,,1,
tortoise,9,14,45,36
toucan,9,5,54,64
tree frog,,,,7
tree pangolin,,,1,1
trout,2,1,2,
tufted capuchin,,,,1
tuna,6,1,3,
turaco,1,,,
turkey,13,14,5,5
turtle,55,43,15,10
uakari,5,4,3,2
urchin,,,1,
urial,1,,2,
vampire bat,,,2,1
vicuã±a,,,2,2
viper,2,2,2,1
vole,,,,1
vulture,29,36,21,13
wallaby,8,2,30,26
walrus,63,40,128,70
wapiti,,,1,
warthog,1,1,12,9
wasp,,1,,
weasel,1,4,2,5
western grey kangaroo,,,1,
western lowland gorilla,,,,1
whale,124,109,16,9
whales,1,,,
whirligig,,,1,
whiskers,,,9,
wild boar,1,,,
wildboar,,,1,
wildcat,5,1,3,
wilddog,,,1,
wildebeest,3,2,1,
wolf,526,521,158,145
wolf spider,1,,,
wolverine,2,3,11,3
wombat,5,12,46,19
woodchuck,1,1,1,
woodcock,1,,,
woodpecker,3,5,4,1
worm,1,3,,
wren,,,1,
xenops,,,1,
xenopus,4,3,1,1
xerus,,1,2,1
yak,6,7,4,2
yellow,,,1,
yellowfin tuna,1,,1,
zebra,599,621,427,404
zebra fish,1,,,
zebra shark,1,,,
zebras,,1,,
zebu,1,,1,1
zeebra,,,1,
zeus,,,1,
zorilla,1,,2,
äº§ä¸šå…”,,1,,
