animal,.csv,.html,.json,.md,.txt,.txt1,.yml
fossa,1,4,1,5,2,2,1
fox,153,144,102,125,141,97,107
foxincerely,1,,,,,,
frilled lizard,,,1,,,,
frog,64,68,44,42,95,7,21
frogfish,,1,,,,,
frosty hare,,1,,,,,
fulvous whistling duck,,,,1,,,
fuzzy,,,,,,1,
galapagos tortoise,,1,,,,,
gazelle,14,8,7,4,15,3,4
gecko,8,2,,2,1,,
geese,1,,,,,,
gelada baboon,,1,,,,,
gerald penguin,,,,,1,,
gerbil,3,,,,2,,
giant anteater,,1,,,,,
giant panda,1,2,3,1,,2,
gibbon,3,3,1,3,4,2,
gila monster,1,,,1,,,
ginger,,,,1,,2,
giraffe,432,408,419,348,434,320,364
giraffe weevil,,1,2,,1,,
gizmo,,,2,1,,2,1
gnu,1,,,,,,
goat,35,15,3,4,24,,5
goblin shark,,,1,,,,
golden eagle,1,3,3,1,,2,
golden gecko,,1,,,,,
golden jaguar,,,,1,,,
golden lion tamarin,,1,,,,,
golden parrot,,1,,,,,
golden retriever,,,,1,1,,
goldfinch,1,,,,,1,
goldfish,4,2,2,2,,,
goose,22,2,,4,6,,1
gopher,,,,,1,,
gorila,,,,,,1,
gorilla,67,28,47,154,78,204,182
gracie,1,,,,,,
grasshopper,5,,,,1,,
gray wolf,1,,,,,1,
great horned owl,1,,,,,,
great white shark,1,,,,,,
green iguana,,,1,3,,3,
green sea turtle,,,,,,1,
green tree frog,,1,,,,1,
grizzly bear,7,,,,,,1
groundhog,1,,,,,,
guan,,,,1,1,,
guanaco,,1,3,,,,
guepardo,,1,,,,,
guido,1,,,,,,
guinea pig,11,,1,,3,,
hammerhead shark,1,,,1,1,1,
hamster,17,9,2,4,7,1,
harbor seal,,,,,1,,
hare,1,,1,4,4,,2
harlequin duck,,1,,,,,
harlequin frog,,,,1,,,
harlequin macaw,,,1,,,,
harp seal,,1,,,,,
harpy eagle,,6,2,1,,,
hawk,34,9,19,26,41,2,6
hedda fox,,,,,1,,
hedgehog,85,76,51,62,120,37,28
hen,1,,,,,,
hermit crab,1,1,,,1,1,
heron,3,,,,1,,
himalayan monal,,,,,,2,
hipopã³tamo,,1,,,,,
hippo,54,26,70,18,29,15,20
hippopotamus,109,80,147,107,153,87,95
honeybee,,,,1,,,
hornbill,,,,,1,,
horse,76,44,29,32,63,11,28
howler monkey,1,,,,,,
hummingbird,36,33,11,5,25,2,
humpback whale,2,,,,,,
husky,1,,,,,,
hyena,84,12,19,21,51,23,21
hyrax,6,,,,1,1,
ibex,5,4,,5,2,,
ibis,1,,,,,,
ibiza,1,,,,,,
ibiza butterfly,,1,,,,,
ibizan hound,,1,2,,,,
iguana,20,16,3,12,2,12,9
impala,4,,,1,,,
indian cobra,,3,1,1,,,
indian pangolin,,1,,,,,
indian peafowl,,,,,,1,
jackal,17,,1,,12,,
jackrabbit,,,,,1,,
jager,1,,,,,,
jaguar,77,54,17,27,52,20,17
jaguars,1,,,,,,
jaguarundi,4,5,,2,1,,
javan rhino,,,1,1,,,
jellyfish,13,3,3,6,29,2,3
jerboa,,,,,,,1
jirafa,,1,,,,,
kakapo,,,,2,,1,1
kangaroo,332,295,362,340,350,358,352
kangaroo rat,2,1,,1,1,,
kelpie,,,,1,,,
kestrel,,1,,,,,
kidneyfish,,,,,1,,
killer whale,1,,,,,,
king cobra,1,1,1,,,1,
kingfisher,2,,,,1,,
kinkajou,1,1,3,1,,,
kitten,,2,,,,,1
kiwi,3,,,1,,2,1
koala,261,210,226,204,260,229,257
koala bear,1,,1,,,,
koel,1,,,,,,
kolkrabe,,1,,,,,
komodo,,3,,,,,
komodo dragon,10,13,5,16,7,8,4
komodo wryneck,,,,1,,,
kookaburra,1,,1,2,,,1
krypto,1,,,,,,
kudu,,,,1,,,
labrador,,,,,,,1
labrador retriever,,1,,,1,,
ladybug,4,1,,2,1,,
leatherback turtle,1,,,,,,
lechuza,1,,,,,,
lechwe,1,,,,,,
lemur,72,71,64,73,102,72,69
leopard,124,75,97,91,114,61,69
leopard seal,2,1,,,1,,
leopardo,,1,,,,,
leopards,,,,,,,2
leoparrd,,,,1,,,
lesser panda,1,,,,,,
lion,365,337,339,324,319,302,341
lion's mane jellyfish,,,,1,,,
lioness,1,,,,1,,
lionfish,1,,1,1,,,1
lizard,60,11,18,26,57,11,6
llama,27,5,9,7,28,4,2
llamas,1,1,,,,,
lobster,39,1,4,23,38,3,6
locust,1,,,,,,
loki,,,,,,1,
lola,,,,,,2,
loon,2,,,,,,
loris,,,,1,,,
luna,1,,1,,,2,
luna snake,,,,,1,,
lynx,8,7,2,3,4,2,1
lyrebird,,,,,1,,
macaw,,1,1,3,,2,
malayan tapir,,,,,,1,
manatee,19,10,8,7,16,,5
manatees,,1,,,,,
manatã­,,1,,,,,
mandrill,,,2,1,2,2,1
maned wolf,,3,,1,,1,
manta ray,2,1,,,,,
mantis,1,,,2,3,1,1
mantis shrimp,,2,1,1,,,1
marjorie kangaroo,,,,,1,,
marlin,3,,,,,,
marmoset,,,1,1,,,
marmot,2,1,3,1,1,,1
meadow,,,1,,,,
meerkat,68,29,30,38,64,24,20
mekong giant catfish,,1,,,,,
milky stork,,1,,,,,
millipede,3,,,,,,
mink,,2,1,,,,
minks,,1,,,,,
misty,1,,,1,,,
mite,1,,,,,,
mittens,,,2,1,,4,1
mockingbird,1,,,,,,
moduleid,1,,,,,,
mola mola,1,1,3,1,1,,
mole,21,5,7,15,6,12,7
mole cricket,,,,1,,,
mole rat,,1,3,,,,
mollusk,,,,1,,,
molly,1,,,,,,
mongeese,1,1,1,,,,
mongolian wild ass,,,,1,,,
mongoose,52,28,19,36,41,27,22
mongooses,1,,,,,,
mongrel,1,,2,,1,,
mongrel dog,,,,,1,,
monk seal,1,,,,,,
monkey,194,235,170,124,135,124,111
monkeys,1,,,,,,
moose,43,5,10,21,46,6,12
moray eel,,,,1,,,
mosquito,1,,,,1,,
moth,10,1,1,1,1,,
mountain goat,,,,1,,1,
mountain gorilla,,,1,1,,,
mountain lion,1,,,,,,
mountain lion/wildcat,1,,,,,,
mouse,16,8,3,7,15,1,3
mule,3,1,,,2,,
murciã©lago,,1,,,,,
musk ox,,,1,,,,
mustang,,,1,,,,
myna,,,,1,,,
mystic wolf,,1,,,,,
narwhal,13,14,8,49,13,50,32
nematode,1,,,,,,
newt,11,,1,1,2,,
nibbles,,,,,,,1
north american beaver,,1,,,,,
northern cardinal,,,1,,,,
northern rockhopper penguin,,,,1,,,
nugget,1,,1,,,1,
numbat,14,19,23,6,11,,7
oak tree,1,,,,,,
ocelot,16,20,12,9,15,2,3
ocelote,,1,,,,,
octopus,123,48,56,73,108,47,79
okapi,13,19,19,22,16,15,14
onyx,1,,,,,,
opossum,3,,,,,,
orangutan,20,5,11,13,22,7,14
orangutã¡n,,1,,,,,
orca,7,,,,2,,1
orcas,,1,1,,,,
oryx,1,1,,1,,,
osprey,3,,,1,1,,
ostrich,106,78,74,62,112,56,48
otter,160,129,98,70,146,71,49
otterhound,,,,1,,,
otters,,,,1,,,
owl,57,22,49,89,77,57,77
owlet,1,1,,1,,,
owls,,,1,,,,
ox,2,1,1,,,,
oyster,2,,,,,,
paddlefish,,,,1,,,
pagoda,,,1,,,,
panda,114,94,154,130,160,110,151
pangolin,15,21,19,15,21,15,11
pangolins,,1,,,,,
panther,26,9,4,2,5,7,2
pantheraurus,1,,,,,,
parakeet,1,,,,,,1
parrot,72,12,24,20,45,6,12
partridge,1,,,,,,
patches,1,,1,,,3,1
peacock,57,14,19,6,28,5,1
peacok,,,,,,1,
peafowl,2,,,,,,
peanut,,,,2,,2,
pelican,11,4,5,7,10,4,2
penguin,307,347,365,284,355,237,311
penguins,,,,,,,1
pengwin,,1,,,,,
peregrine falcon,2,,2,,,,
persian cat,,,1,,1,,
pheasant,2,,,,,1,1
pickle,,,1,,,,
pig,24,3,6,1,16,,5
pigeon,12,3,1,1,6,1,1
pine marten,,,,1,,,
pingã¼ino,,1,,,,,
pink dart frog,,1,,,,,
pink fairy armadillo,,2,,,,,
pink flamingo,,,,1,,,
platypus,25,17,9,33,15,49,26
polar bear,32,5,15,6,7,6,11
pomeranian,1,1,,1,1,,
pony,,,,1,,,
porcupine,39,4,6,6,26,2,
porpoise,1,,,1,2,,
prairie dog,3,1,1,1,1,,
praying mantis,1,,,,1,,
proboscis monkey,,1,,1,,,
pudding,,,,1,,,
pudu,,,1,,,,
pufferfish,1,,,2,1,1,
puffin,3,3,1,8,1,21,4
pug,,1,,,,,
puma,30,14,5,21,14,12,16
python,5,,2,,2,,
quadruped,1,,,,,,
quagga,,,,,,,1
quail,34,18,29,44,32,38,29
quails,,1,,,,,
quetzal,,,,,1,,
quincy,,,1,,,,
quincy octopus,,,,,1,,
quokka,14,23,21,26,9,19,11
rabbit,131,95,60,69,122,52,60
raccoon,74,35,21,44,47,52,27
racoon,1,,,,,,
railsback frog,,,,1,,,
rain frog,,1,,,,,
ram,1,,,,,,
ranger,1,,,,,,
raptor,,,,,1,,
rat,6,2,2,3,5,,1
rattlesnake,11,9,5,19,18,17,23
raven,7,,,,5,,
ray,1,,,,,,
red fox,8,4,4,4,4,8,1
red kangaroo,,,,1,,,
red panda,15,7,2,5,2,3,3
reindeer,9,,,1,4,,
rhea,,,1,,,,
rhesus macaque,,,1,,,,
rhino,47,66,38,48,25,44,40
rhinoceros,129,120,139,118,184,75,110
rhinoceros beetle,,,,1,,,
rhinoceroses,,1,,,,,
rinoceronte,,1,,,,,
roadrunner,2,,,,,,
robin,11,,,2,6,,
rocky,,,,,,2,
roderick ostrich,,,,,1,,
rooster,3,,,,,1,
roseate spoonbill,,,,,1,,
rottweiler,,1,,,,,
rover,,,1,,,,
ruffian,,,,,,1,
rufus,,,1,,,,
saber-toothed tiger,1,1,,,,,
sable,,,,1,,,
saiga antelope,,,,1,,,
salamander,36,15,9,26,23,16,17
salmon,19,7,4,9,11,4,2
sandpiper,,1,,,,,
saola,,1,,,,,
sassy,,,,,,1,
scallop,1,,,,,,
scarlet macaw,,,,,,1,
scorpion,14,,2,2,10,,
sea anemone,1,,,,,,
sea cucumber,3,,,1,1,,
sea lion,12,1,2,1,5,,
sea otter,2,2,1,1,1,,1
sea star,,,,,1,,
sea turtle,9,6,2,,7,,2
sea urchin,19,,,,5,,
seadragon,1,,,,,,
seagull,27,6,6,3,18,,
seahorse,34,6,5,14,24,9,10
seal,75,26,21,23,54,7,11
sealion,3,,2,1,7,,
seastar,1,,,,,,
serval,1,1,1,,,,
shadow panther,,1,,,,,
shark,58,14,29,49,76,16,33
sheep,32,11,3,6,23,3,6
shellfish,,,1,,1,,
shipworm,1,,,,,,
shrew,1,,,,,,
shrimp,3,3,1,1,2,,
siamese,,1,,,,,
siamese cat,,,,,1,,
siberian crane,,,,1,,,
siberian husky,,1,,3,1,2,
siberian tiger,,2,1,1,,,
sifaka,,1,,,,,
signalerror,1,,,,,,
silent lemur,,1,,,,,
simba,1,,,,,1,
skink,1,,,,,,
skunk,30,2,3,3,23,2,1
skunks,,1,,,,,
slime mold,1,,,,,,
sloth,72,41,40,24,55,38,22
sloth bear,1,,,,,,
slow loris,,,,1,,,
slug,10,,1,,7,,
snail,20,1,4,6,16,,
snake,135,116,54,86,104,58,64
snakes,1,,,1,,,
snapping turtle,1,,,,1,,
snipe,1,,,,,,
snow leopard,1,10,5,6,3,8,
snowball,,,,,,2,1
snowflake,,,,1,,,
snowy,,,,1,,,
snowy owl,,,,1,,,
snuffles,,,1,,,2,
socks,1,,,1,,,
south american tapir,,1,,,,,
southern cassowary,,,,1,,,
sparky,1,,2,2,,4,1
sparrow,10,4,3,6,16,,4
sperm whale,,,,1,,,
spider,19,5,8,6,19,,
spider monkey,,,1,,,,
spike,1,,1,,,,
spotted salamander,,2,,2,,,
springbok,,2,,,,,
sprocket,,,,1,,,
squeaky,,,,,,,1
squid,27,13,3,6,16,,2
squidward,,,1,,,,
squirel,1,,,,,,
squirrel,51,33,41,18,62,7,10
star-nosed mole,,,,1,,,
starfish,40,3,3,6,29,,1
stingray,7,1,,,1,1,
storck,,1,,,,,
stork,4,,,,2,,
strawberry poison frog,,1,,,,,
sturgeon,1,,,,,,
sugar,,1,,,,,
sugar glider,3,1,1,2,,1,
sumatran orangutan,,,,1,,,
sun bear,2,,1,,,,
sunbird,,1,,,,,
sunlit salamander,,1,,,,,
swallow,14,3,,1,1,,
swan,36,2,14,14,35,3,3
swift falcon,,1,,,,,
swift fox,,,1,,,,
swordfish,1,,,,,,
swordtail catfish,,,,1,,,
sylvester squirrel,,,,,1,,
tahr,,,,,2,,
takelma,,1,,,,,
takin,,,1,,1,,
tamarin,,,1,3,3,,
tamarins,1,,,,,,
tamarow,1,,,,,,
tapir,25,17,5,15,24,8,13
tapirus,,1,,,,,
tarantula,,6,,2,,,
tardigrade,,,,,,,1
tarpon,,,,,1,,
tarsier,8,9,15,6,6,2,1
tasmanian devil,2,1,1,,5,6,
tawny frogmouth,,,,1,,,
termite,6,,,,,,
tern,1,,,,,,
tetra,1,,,,,,
thane,,,,1,,,
thistle,,,,,,1,
thomson's gazelle,,,,1,,,
tiger,388,354,395,363,394,351,369
tiger cat,1,,1,1,,,
tiger catfish,,1,,,,,
tiger salamander,,,,1,,,
tiger shark,1,,,,,,
toad,22,2,13,17,32,,3
toboggan catshark,,,,1,,,
toby,1,,,,,,
tortoise,34,13,16,11,25,,5
toucan,27,15,21,22,30,8,9
tree frog,1,2,1,1,1,1,
tree pangolin,,1,1,,,,
trout,4,,,,1,,
tufted capuchin,,1,,,,,
tuna,9,,,,1,,
turaco,,,1,,,,
turkey,24,6,1,,5,,1
turtle,49,4,15,17,29,,9
uakari,4,5,1,3,,,1
urchin,,,1,,,,
urial,2,,1,,,,
vampire bat,,,,1,,1,1
vicuã±a,,2,,2,,,
viper,2,,,1,4,,
vole,,,,,,1,
vulture,33,5,7,17,27,3,7
wallaby,19,10,3,11,13,3,7
walrus,85,37,31,32,66,27,23
wapiti,,,,,,1,
warthog,4,2,,4,2,6,5
wasp,,,,1,,,
weasel,3,5,,1,2,,1
western grey kangaroo,,1,,,,,
western lowland gorilla,,,,1,,,
whale,57,21,44,42,55,19,20
whales,,,,1,,,
whirligig,,,1,,,,
whiskers,1,,2,1,,4,1
wild boar,1,,,,,,
wildboar,1,,,,,,
wildcat,8,,1,,,,
wilddog,1,,,,,,
wildebeest,1,,,,5,,
wolf,211,238,165,189,198,195,154
wolf spider,1,,,,,,
wolverine,2,3,2,,10,2,
wombat,18,11,7,9,23,11,3
woodchuck,2,,,,1,,
woodcock,1,,,,,,
woodpecker,6,,1,,6,,
worm,2,,,1,1,,
wren,,,,,,1,
xenops,,,,1,,,
xenopus,3,5,,,,,1
xerus,1,,1,2,,,
yak,8,2,3,2,3,,1
yellow,1,,,,,,
yellowfin tuna,,1,,1,,,
zebra,302,279,303,282,285,304,296
zebra fish,1,,,,,,
zebra shark,,,,,1,,
zebras,,,,,1,,
zebu,1,,1,1,,,
zeebra,,1,,,,,
zeus,1,,,,,,
zorilla,2,,1,,,,
äº§ä¸šå…”,,,,,,,1
